Date,Round,Home_Team,Away_Team,Home_Goals,Away_Goals,Result,Home_Possesso_palla,Home_Parate,Home_Rigori,Home_Tiri_Totali,Home_Tiri_in_porta,Home_Tiri_in_porta_da_punizione,Home_Tiri_fuori,Home_Tiri_fuori_da_punizione,Home_Tiri_in_porta_da_area,Home_Tiri_in_porta_su_azione_da_palla_inattiva,Home_Tiri_fuori_su_azione_da_palla_inattiva,Home_Falli_commessi,Home_Falli_subiti,Home_Pali,Home_Occasioni_da_gol,Home_Assist_Totali,Home_Fuorigioco,Home_Corner,Home_Passaggi_riusciti,Home_Accuratezza_passaggi,Home_Ammonizioni,Home_Doppie_ammonizioni,Home_Espulsioni,Home_Passaggi_chiave,Home_Recuperi,Home_Ripartenze_da_Recupero,Home_Attacchi_centrali,Home_Attacchi_a_destra,Home_Attacchi_a_sinistra,Away_Possesso_palla,Away_Parate,Away_Rigori,Away_Tiri_Totali,Away_Tiri_in_porta,Away_Tiri_in_porta_da_punizione,Away_Tiri_fuori,Away_Tiri_fuori_da_punizione,Away_Tiri_in_porta_da_area,Away_Tiri_in_porta_su_azione_da_palla_inattiva,Away_Tiri_fuori_su_azione_da_palla_inattiva,Away_Falli_commessi,Away_Falli_subiti,Away_Pali,Away_Occasioni_da_gol,Away_Assist_Totali,Away_Fuorigioco,Away_Corner,Away_Passaggi_riusciti,Away_Accuratezza_passaggi,Away_Ammonizioni,Away_Doppie_ammonizioni,Away_Espulsioni,Away_Passaggi_chiave,Away_Recuperi,Away_Ripartenze_da_Recupero,Away_Attacchi_centrali,Away_Attacchi_a_destra,Away_Attacchi_a_sinistra
11/01/2021,17,SPEZIA,SAMPDORIA,2,1,1,59%,2,1,8,4,1,2,0,4,1,1,17,14,0,6,1,4,4,407,78%,4,0,0,3,53,,10,10,10,41%,2,0,6,4,0,2,0,4,0,2,15,16,0,6,1,0,2,271,70%,3,0,0,2,40,,13,8,7
09/01/2021,17,GENOA,BOLOGNA,2,0,1,34%,4,0,9,7,0,1,0,6,0,1,11,9,0,5,1,2,1,220,65%,2,0,0,3,58,,8,10,11,66%,5,0,12,4,0,3,1,1,1,1,9,11,0,3,0,1,4,494,83%,0,0,0,2,40,,11,13,17
06/01/2021,16,CAGLIARI,BENEVENTO,1,2,2,69%,1,0,10,5,0,4,0,4,1,3,18,12,0,4,1,1,7,439,87%,4,0,1,1,41,,12,8,7,31%,4,0,9,3,0,3,0,3,1,1,12,18,0,4,2,2,6,253,77%,3,0,0,1,45,,18,3,4
10/01/2021,17,JUVENTUS,SASSUOLO,3,1,1,57%,1,0,20,10,0,7,0,8,1,1,11,4,1,11,2,0,6,574,92%,4,0,0,7,23,,16,12,13,43%,5,0,10,2,0,6,1,2,0,2,4,10,0,2,1,1,3,449,88%,1,0,1,0,37,,11,10,7
09/01/2021,17,BENEVENTO,ATALANTA,1,4,2,39%,9,0,4,2,0,1,0,1,0,1,13,20,0,2,1,0,1,268,72%,3,0,0,1,41,,7,12,9,61%,1,0,26,15,0,6,0,13,3,2,21,12,1,15,1,4,11,434,85%,2,0,0,9,39,,12,22,15
10/01/2021,17,ROMA,INTER,2,2,X,50%,4,0,14,8,0,1,0,4,0,0,18,9,0,6,2,1,3,482,88%,3,0,0,2,39,,7,12,17,50%,6,0,16,6,0,7,0,6,1,1,11,18,0,10,2,2,7,448,85%,3,0,0,8,35,,10,12,9
10/01/2021,17,HELLAS VERONA,CROTONE,2,1,1,47%,2,0,11,7,1,3,0,5,0,0,16,16,1,7,2,1,6,226,69%,3,0,0,5,44,,12,13,18,53%,4,0,7,3,0,2,0,1,0,0,16,16,0,1,1,0,4,341,76%,3,0,0,0,50,,20,12,11
06/01/2021,16,ATALANTA,PARMA,3,0,1,50%,1,0,17,6,0,8,0,6,0,2,10,5,0,8,3,3,12,461,87%,1,0,0,5,31,,13,16,10,50%,3,0,3,1,0,0,0,1,0,0,6,9,0,1,0,1,3,444,86%,1,0,0,0,58,,2,6,5
10/01/2021,17,UDINESE,NAPOLI,1,2,2,40%,4,0,17,8,0,8,0,6,0,3,19,5,0,10,0,0,2,320,81%,3,0,0,7,34,,11,4,7,60%,7,1,15,6,1,7,2,5,2,3,6,18,0,10,1,1,7,594,89%,1,0,0,4,24,,14,11,13
06/01/2021,16,CROTONE,ROMA,1,3,2,51%,1,0,12,5,0,5,0,5,1,0,15,17,0,6,1,0,3,430,82%,2,0,0,4,45,,12,11,15,49%,3,1,10,5,1,3,0,4,0,1,17,15,0,5,2,1,4,396,83%,3,0,0,2,39,,12,12,9
06/01/2021,16,BOLOGNA,UDINESE,2,2,X,40%,6,0,10,7,1,2,0,4,1,1,16,13,0,3,2,1,4,253,79%,2,1,0,1,47,,9,8,7,60%,5,0,12,9,0,2,0,7,0,0,13,15,1,9,1,2,6,444,87%,3,0,0,5,29,,12,19,15
Date,Round,Home_Team,Away_Team,Home_Goals,Away_Goals,Result,Home_Possesso_palla,Home_Parate,Home_Rigori,Home_Tiri_Totali,Home_Tiri_in_porta,Home_Tiri_in_porta_da_punizione,Home_Tiri_fuori,Home_Tiri_fuori_da_punizione,Home_Tiri_in_porta_da_area,Home_Tiri_in_porta_su_azione_da_palla_inattiva,Home_Tiri_fuori_su_azione_da_palla_inattiva,Home_Falli_commessi,Home_Falli_subiti,Home_Pali,Home_Occasioni_da_gol,Home_Assist_Totali,Home_Fuorigioco,Home_Corner,Home_Passaggi_riusciti,Home_Accuratezza_passaggi,Home_Ammonizioni,Home_Doppie_ammonizioni,Home_Espulsioni,Home_Passaggi_chiave,Home_Recuperi,Home_Ripartenze_da_Recupero,Home_Attacchi_centrali,Home_Attacchi_a_destra,Home_Attacchi_a_sinistra,Away_Possesso_palla,Away_Parate,Away_Rigori,Away_Tiri_Totali,Away_Tiri_in_porta,Away_Tiri_in_porta_da_punizione,Away_Tiri_fuori,Away_Tiri_fuori_da_punizione,Away_Tiri_in_porta_da_area,Away_Tiri_in_porta_su_azione_da_palla_inattiva,Away_Tiri_fuori_su_azione_da_palla_inattiva,Away_Falli_commessi,Away_Falli_subiti,Away_Pali,Away_Occasioni_da_gol,Away_Assist_Totali,Away_Fuorigioco,Away_Corner,Away_Passaggi_riusciti,Away_Accuratezza_passaggi,Away_Ammonizioni,Away_Doppie_ammonizioni,Away_Espulsioni,Away_Passaggi_chiave,Away_Recuperi,Away_Ripartenze_da_Recupero,Away_Attacchi_centrali,Away_Attacchi_a_destra,Away_Attacchi_a_sinistra
06/01/2021,16,MILAN,JUVENTUS,1,3,2,45%,6,0,18,8,0,8,1,4,0,1,17,12,0,5,1,1,7,327,87%,1,0,0,2,44,,12,14,12,55%,8,0,13,10,0,2,0,7,0,0,12,16,1,7,3,0,4,454,87%,2,0,0,3,35,,4,12,16
22/12/2020,14,CROTONE,PARMA,2,1,1,55%,6,0,10,6,0,2,1,4,1,0,16,20,0,3,2,2,3,268,77%,4,0,0,1,31,,8,13,14,45%,4,0,15,7,1,5,0,5,1,1,22,16,0,6,1,3,6,270,80%,6,0,0,3,39,,17,11,14
06/01/2021,16,SAMPDORIA,INTER,2,1,1,38%,7,1,8,6,1,0,0,5,1,0,13,16,1,3,1,1,4,235,73%,3,0,0,2,40,,9,3,6,62%,1,1,23,11,1,9,0,11,3,3,18,12,1,14,1,3,11,421,83%,4,0,0,9,32,,21,9,6
23/12/2020,14,MILAN,LAZIO,3,2,1,42%,6,1,13,5,1,4,0,5,2,0,9,12,0,8,2,2,4,260,78%,2,0,0,3,49,,11,6,8,58%,2,1,14,9,1,4,0,6,3,0,14,9,1,7,1,0,6,442,85%,4,0,0,3,41,,15,9,3
06/01/2021,16,SASSUOLO,GENOA,2,1,1,64%,1,0,13,6,1,4,0,4,0,0,14,10,1,5,1,0,8,568,88%,3,0,0,3,43,,21,10,21,36%,2,0,7,3,0,2,0,3,1,0,10,13,1,4,1,1,2,271,75%,3,0,0,2,48,,11,14,14
06/01/2021,16,NAPOLI,SPEZIA,1,2,2,57%,1,0,27,11,0,7,0,9,0,1,9,15,0,11,1,4,10,511,87%,2,0,0,7,31,,10,19,23,43%,8,1,8,4,1,2,0,4,0,0,16,9,1,3,0,2,2,288,79%,3,1,0,0,45,,14,13,10
06/01/2021,16,TORINO,HELLAS VERONA,1,1,X,47%,1,0,15,5,0,4,0,4,1,0,12,17,0,3,0,1,9,265,72%,1,0,0,1,44,,13,8,13,53%,3,0,8,2,0,3,0,2,0,1,18,11,0,1,1,3,3,345,76%,3,0,0,0,62,,7,13,17
23/12/2020,14,NAPOLI,TORINO,1,1,X,57%,2,0,15,6,1,6,0,4,0,1,19,15,0,3,1,3,4,568,90%,3,0,0,2,33,,11,14,17,43%,5,0,8,3,0,1,0,3,1,0,16,18,0,4,0,1,3,273,80%,3,0,0,3,48,,8,13,6
23/12/2020,14,HELLAS VERONA,INTER,1,2,2,42%,3,0,6,2,0,3,1,2,0,1,15,18,0,3,0,0,2,250,70%,4,0,0,1,62,,18,14,9,58%,1,0,11,5,0,4,0,4,0,2,19,15,0,7,2,0,7,422,82%,2,0,0,5,57,,17,23,10
22/12/2020,14,JUVENTUS,FIORENTINA,0,3,2,53%,4,0,10,3,0,3,0,1,0,0,9,18,0,4,0,3,5,421,89%,1,0,1,2,42,,15,7,7,47%,4,0,9,6,0,2,0,5,1,1,18,9,0,4,2,1,5,334,86%,4,0,0,0,27,,9,10,9
23/12/2020,14,ROMA,CAGLIARI,3,2,1,61%,0,0,14,9,1,4,0,7,3,0,18,20,0,9,2,1,6,453,84%,3,0,0,6,45,,19,11,10,39%,6,1,6,3,1,3,0,3,1,0,20,18,1,7,1,3,0,242,74%,2,0,0,4,50,,15,13,9
23/12/2020,14,BOLOGNA,ATALANTA,2,2,X,45%,4,0,8,5,0,2,0,3,0,0,12,14,0,4,2,0,1,397,80%,2,0,0,2,49,,13,16,15,55%,2,1,9,6,1,2,0,6,1,0,14,12,0,5,0,2,5,476,85%,2,0,0,2,32,,19,19,17
03/01/2021,15,CAGLIARI,NAPOLI,1,4,2,42%,8,0,7,1,0,5,0,1,0,1,11,6,0,3,0,0,3,302,83%,2,1,0,1,35,,3,10,11,58%,0,1,30,12,1,10,2,9,1,1,6,10,0,12,2,0,8,558,93%,1,0,0,4,33,,11,17,14
03/01/2021,15,GENOA,LAZIO,1,1,X,35%,3,0,8,3,0,2,0,2,0,0,11,18,0,3,1,2,4,259,73%,2,0,0,2,53,,13,12,9,65%,2,1,13,4,1,6,1,1,0,1,18,11,0,5,0,2,9,451,84%,4,0,0,4,53,,14,13,15
23/12/2020,14,SAMPDORIA,SASSUOLO,2,3,2,51%,5,0,19,6,0,8,0,5,1,4,10,10,0,9,2,1,14,287,77%,2,0,1,5,46,,9,15,19,49%,4,0,12,8,0,2,0,7,0,0,12,9,0,9,0,2,6,369,81%,4,0,0,6,57,,17,9,13
23/12/2020,14,UDINESE,BENEVENTO,0,2,2,66%,0,0,9,3,0,5,0,1,0,0,20,11,1,3,0,1,7,445,88%,1,0,0,3,47,,6,14,19,34%,2,0,4,2,0,1,0,2,0,0,12,20,0,2,2,1,1,244,74%,2,0,0,0,50,,5,7,8
