NSeasons,NMatches,Ntop,Acc
2,9,9,49.39
2,9,10,50.00
2,9,11,50.61
2,9,12,49.39
2,9,13,50.00
2,9,14,49.39
2,9,15,48.78
2,10,1,45.12
2,10,2,48.17
2,10,3,46.95
2,10,4,46.34
2,10,5,45.73
2,10,6,53.05
2,10,7,51.83
2,10,8,51.22
2,10,9,52.44
2,10,10,52.44
2,10,11,51.83
2,10,12,51.83
2,10,13,51.83
2,10,14,51.22
2,10,15,51.22
3,1,1,42.07
3,1,2,40.85
3,1,3,42.68
3,1,4,43.90
3,1,5,42.07
3,1,6,46.95
3,1,7,46.34
3,1,8,46.34
3,1,9,46.34
3,1,10,45.73
3,1,11,45.12
3,1,12,48.17
3,1,13,45.12
3,1,14,46.34
3,1,15,46.95
3,2,1,40.85
3,2,2,43.29
3,2,3,45.73
3,2,4,45.73
3,2,5,42.68
3,2,6,48.78
3,2,7,48.78
3,2,8,48.17
3,2,9,49.39
3,2,10,49.39
3,2,11,48.17
3,2,12,46.95
3,2,13,48.17
3,2,14,46.95
3,2,15,46.34
3,3,1,45.73
3,3,2,47.56
3,3,3,40.85
3,3,4,45.73
3,3,5,45.12
3,3,6,48.78
3,3,7,47.56
3,3,8,46.34
3,3,9,48.17
3,3,10,47.56
3,3,11,47.56
3,3,12,48.17
3,3,13,48.17
3,3,14,47.56
3,3,15,46.34
3,4,1,44.51
3,4,2,45.73
3,4,3,46.34
3,4,4,44.51
3,4,5,47.56
3,4,6,50.00
3,4,7,50.61
3,4,8,50.00
3,4,9,48.78
3,4,10,51.83
3,4,11,51.22
3,4,12,50.00
3,4,13,51.22
3,4,14,50.61
3,4,15,50.00
3,5,1,45.12
3,5,2,45.12
3,5,3,46.34
3,5,4,49.39
3,5,5,47.56
3,5,6,50.00
3,5,7,48.78
3,5,8,49.39
3,5,9,49.39
3,5,10,51.22
3,5,11,49.39
3,5,12,50.00
3,5,13,48.78
3,5,14,49.39
3,5,15,48.78
3,6,1,46.34
3,6,2,46.34
3,6,3,43.29
3,6,4,42.68
3,6,5,43.29
3,6,6,50.00
3,6,7,48.17
3,6,8,47.56
3,6,9,50.61
3,6,10,47.56
3,6,11,47.56
3,6,12,48.17
3,6,13,48.17
3,6,14,47.56
3,6,15,48.17
3,7,1,52.44
3,7,2,46.34
3,7,3,45.73
3,7,4,46.95
3,7,5,47.56
3,7,6,51.83
3,7,7,49.39
3,7,8,50.61
3,7,9,52.44
3,7,10,51.22
3,7,11,50.00
3,7,12,49.39
3,7,13,49.39
3,7,14,49.39
3,7,15,49.39
3,8,1,49.39
3,8,2,46.34
3,8,3,45.12
3,8,4,45.73
3,8,5,46.34
3,8,6,51.22
3,8,7,52.44
3,8,8,51.22
